"","target_id","biotype","geneSymbol"
"1","ENSG00000000003.14","protein_coding","TSPAN6"
"2","ENSG00000000005.5","protein_coding","TNMD"
"3","ENSG00000000419.12","protein_coding","DPM1"
"4","ENSG00000000457.13","protein_coding","SCYL3"
"5","ENSG00000000460.16","protein_coding","C1orf112"
"6","ENSG00000000938.12","protein_coding","FGR"
"7","ENSG00000000971.15","protein_coding","CFH"
"8","ENSG00000001036.13","protein_coding","FUCA2"
"9","ENSG00000001084.10","protein_coding","GCLC"
"10","ENSG00000001167.14","protein_coding","NFYA"
"11","ENSG00000001460.17","protein_coding","STPG1"
"12","ENSG00000001461.16","protein_coding","NIPAL3"
"13","ENSG00000001497.16","protein_coding","LAS1L"
"14","ENSG00000001561.6","protein_coding","ENPP4"
"15","ENSG00000001617.11","protein_coding","SEMA3F"
"16","ENSG00000001626.14","protein_coding","CFTR"
"17","ENSG00000001629.9","protein_coding","ANKIB1"
"18","ENSG00000001630.15","protein_coding","CYP51A1"
"19","ENSG00000001631.15","protein_coding","KRIT1"
"20","ENSG00000002016.17","protein_coding","RAD52"
"21","ENSG00000002079.14","transcribed_unitary_pseudogene","MYH16"
"22","ENSG00000002330.13","protein_coding","BAD"
"23","ENSG00000002549.12","protein_coding","LAP3"
"24","ENSG00000002586.18","protein_coding","CD99"
"25","ENSG00000002587.9","protein_coding","HS3ST1"
"26","ENSG00000002726.20","protein_coding","AOC1"
"27","ENSG00000002745.12","protein_coding","WNT16"
"28","ENSG00000002746.14","protein_coding","HECW1"
"29","ENSG00000002822.15","protein_coding","MAD1L1"
"30","ENSG00000002834.17","protein_coding","LASP1"
"31","ENSG00000002919.14","protein_coding","SNX11"
"32","ENSG00000002933.7","protein_coding","TMEM176A"
"33","ENSG00000003056.7","protein_coding","M6PR"
"34","ENSG00000003096.14","protein_coding","KLHL13"
"35","ENSG00000003137.8","protein_coding","CYP26B1"
"36","ENSG00000003147.17","protein_coding","ICA1"
"37","ENSG00000003249.13","protein_coding","DBNDD1"
"38","ENSG00000003393.14","protein_coding","ALS2"
"39","ENSG00000003400.14","protein_coding","CASP10"
"40","ENSG00000003402.19","protein_coding","CFLAR"
"41","ENSG00000003436.15","protein_coding","TFPI"
"42","ENSG00000003509.15","protein_coding","NDUFAF7"
"43","ENSG00000003756.16","protein_coding","RBM5"
"44","ENSG00000003987.13","protein_coding","MTMR7"
"45","ENSG00000003989.17","protein_coding","SLC7A2"
"46","ENSG00000004059.10","protein_coding","ARF5"
"47","ENSG00000004139.13","protein_coding","SARM1"
"48","ENSG00000004142.11","protein_coding","POLDIP2"
"49","ENSG00000004399.12","protein_coding","PLXND1"
"50","ENSG00000004455.16","protein_coding","AK2"
"51","ENSG00000004468.12","protein_coding","CD38"
"52","ENSG00000004478.7","protein_coding","FKBP4"
"53","ENSG00000004487.15","protein_coding","KDM1A"
"54","ENSG00000004534.14","protein_coding","RBM6"
"55","ENSG00000004660.14","protein_coding","CAMKK1"
"56","ENSG00000004700.15","protein_coding","RECQL"
"57","ENSG00000004766.15","protein_coding","VPS50"
"58","ENSG00000004776.12","protein_coding","HSPB6"
"59","ENSG00000004777.18","protein_coding","ARHGAP33"
"60","ENSG00000004779.9","protein_coding","NDUFAB1"
"61","ENSG00000004799.7","protein_coding","PDK4"
"62","ENSG00000004809.13","protein_coding","SLC22A16"
"63","ENSG00000004838.13","protein_coding","ZMYND10"
"64","ENSG00000004846.16","protein_coding","ABCB5"
"65","ENSG00000004848.7","protein_coding","ARX"
"66","ENSG00000004864.13","protein_coding","SLC25A13"
"67","ENSG00000004866.20","protein_coding","ST7"
"68","ENSG00000004897.11","protein_coding","CDC27"
"69","ENSG00000004939.13","protein_coding","SLC4A1"
"70","ENSG00000004948.13","protein_coding","CALCR"
"71","ENSG00000004961.14","protein_coding","HCCS"
"72","ENSG00000004975.11","protein_coding","DVL2"
"73","ENSG00000005001.9","protein_coding","PRSS22"
"74","ENSG00000005007.12","protein_coding","UPF1"
"75","ENSG00000005020.12","protein_coding","SKAP2"
"76","ENSG00000005022.5","protein_coding","SLC25A5"
"77","ENSG00000005059.15","protein_coding","MCUB"
"78","ENSG00000005073.5","protein_coding","HOXA11"
"79","ENSG00000005075.15","protein_coding","POLR2J"
"80","ENSG00000005100.12","protein_coding","DHX33"
"81","ENSG00000005102.12","protein_coding","MEOX1"
"82","ENSG00000005108.15","protein_coding","THSD7A"
"83","ENSG00000005156.11","protein_coding","LIG3"
"84","ENSG00000005175.9","protein_coding","RPAP3"
"85","ENSG00000005187.11","protein_coding","ACSM3"
"86","ENSG00000005189.19","protein_coding","REXO5"
"87","ENSG00000005194.14","protein_coding","CIAPIN1"
"88","ENSG00000005206.16","protein_coding","SPPL2B"
"89","ENSG00000005238.19","protein_coding","FAM214B"
"90","ENSG00000005243.9","protein_coding","COPZ2"
"91","ENSG00000005249.12","protein_coding","PRKAR2B"
"92","ENSG00000005302.17","protein_coding","MSL3"
"93","ENSG00000005339.14","protein_coding","CREBBP"
"94","ENSG00000005379.15","protein_coding","TSPOAP1"
"95","ENSG00000005381.7","protein_coding","MPO"
"96","ENSG00000005421.8","protein_coding","PON1"
"97","ENSG00000005436.13","protein_coding","GCFC2"
"98","ENSG00000005448.16","protein_coding","WDR54"
"99","ENSG00000005469.11","protein_coding","CROT"
"100","ENSG00000005471.15","protein_coding","ABCB4"
"101","ENSG00000005483.20","protein_coding","KMT2E"
"102","ENSG00000005486.16","protein_coding","RHBDD2"
"103","ENSG00000005513.9","protein_coding","SOX8"
"104","ENSG00000005700.14","protein_coding","IBTK"
"105","ENSG00000005801.16","protein_coding","ZNF195"
"106","ENSG00000005810.17","protein_coding","MYCBP2"
"107","ENSG00000005812.10","protein_coding","FBXL3"
"108","ENSG00000005844.17","protein_coding","ITGAL"
"109","ENSG00000005882.11","protein_coding","PDK2"
"110","ENSG00000005884.17","protein_coding","ITGA3"
"111","ENSG00000005889.15","protein_coding","ZFX"
"112","ENSG00000005893.15","protein_coding","LAMP2"
"113","ENSG00000005961.17","protein_coding","ITGA2B"
"114","ENSG00000005981.12","protein_coding","ASB4"
"115","ENSG00000006007.11","protein_coding","GDE1"
"116","ENSG00000006015.17","protein_coding","C19orf60"
"117","ENSG00000006016.10","protein_coding","CRLF1"
"118","ENSG00000006025.11","protein_coding","OSBPL7"
"119","ENSG00000006042.11","protein_coding","TMEM98"
"120","ENSG00000006047.12","protein_coding","YBX2"
"121","ENSG00000006059.3","protein_coding","KRT33A"
"122","ENSG00000006062.14","protein_coding","MAP3K14"
"123","ENSG00000006071.12","protein_coding","ABCC8"
"124","ENSG00000006116.3","protein_coding","CACNG3"
"125","ENSG00000006118.14","protein_coding","TMEM132A"
"126","ENSG00000006125.17","protein_coding","AP2B1"
"127","ENSG00000006128.11","protein_coding","TAC1"
"128","ENSG00000006194.9","protein_coding","ZNF263"
"129","ENSG00000006210.6","protein_coding","CX3CL1"
"130","ENSG00000006282.20","protein_coding","SPATA20"
"131","ENSG00000006283.17","protein_coding","CACNA1G"
"132","ENSG00000006327.13","protein_coding","TNFRSF12A"
"133","ENSG00000006377.10","protein_coding","DLX6"
"134","ENSG00000006432.15","protein_coding","MAP3K9"
"135","ENSG00000006451.7","protein_coding","RALA"
"136","ENSG00000006453.13","protein_coding","BAIAP2L1"
"137","ENSG00000006459.10","protein_coding","KDM7A"
"138","ENSG00000006468.13","protein_coding","ETV1"
"139","ENSG00000006530.15","protein_coding","AGK"
"140","ENSG00000006534.15","protein_coding","ALDH3B1"
"141","ENSG00000006555.10","protein_coding","TTC22"
"142","ENSG00000006576.16","protein_coding","PHTF2"
"143","ENSG00000006606.8","protein_coding","CCL26"
"144","ENSG00000006607.13","protein_coding","FARP2"
"145","ENSG00000006611.15","protein_coding","USH1C"
"146","ENSG00000006625.17","protein_coding","GGCT"
"147","ENSG00000006634.7","protein_coding","DBF4"
"148","ENSG00000006638.11","protein_coding","TBXA2R"
"149","ENSG00000006652.13","protein_coding","IFRD1"
"150","ENSG00000006659.12","protein_coding","LGALS14"
"151","ENSG00000006695.10","protein_coding","COX10"
"152","ENSG00000006704.10","protein_coding","GTF2IRD1"
"153","ENSG00000006712.14","protein_coding","PAF1"
"154","ENSG00000006715.15","protein_coding","VPS41"
"155","ENSG00000006740.16","protein_coding","ARHGAP44"
"156","ENSG00000006744.18","protein_coding","ELAC2"
"157","ENSG00000006747.14","protein_coding","SCIN"
"158","ENSG00000006756.15","protein_coding","ARSD"
"159","ENSG00000006757.11","protein_coding","PNPLA4"
"160","ENSG00000006788.13","protein_coding","MYH13"
"161","ENSG00000006831.9","protein_coding","ADIPOR2"
"162","ENSG00000006837.11","protein_coding","CDKL3"
"163","ENSG00000007001.12","protein_coding","UPP2"
"164","ENSG00000007038.10","protein_coding","PRSS21"
"165","ENSG00000007047.14","protein_coding","MARK4"
"166","ENSG00000007062.11","protein_coding","PROM1"
"167","ENSG00000007080.10","protein_coding","CCDC124"
"168","ENSG00000007129.17","protein_coding","CEACAM21"
"169","ENSG00000007168.12","protein_coding","PAFAH1B1"
"170","ENSG00000007171.16","protein_coding","NOS2"
"171","ENSG00000007174.17","protein_coding","DNAH9"
"172","ENSG00000007202.14","protein_coding","KIAA0100"
"173","ENSG00000007216.14","protein_coding","SLC13A2"
"174","ENSG00000007237.18","protein_coding","GAS7"
"175","ENSG00000007255.10","protein_coding","TRAPPC6A"
"176","ENSG00000007264.14","protein_coding","MATK"
"177","ENSG00000007306.14","protein_coding","CEACAM7"
"178","ENSG00000007312.12","protein_coding","CD79B"
"179","ENSG00000007314.12","protein_coding","SCN4A"
"180","ENSG00000007341.18","protein_coding","ST7L"
"181","ENSG00000007350.16","protein_coding","TKTL1"
"182","ENSG00000007372.21","protein_coding","PAX6"
"183","ENSG00000007376.7","protein_coding","RPUSD1"
"184","ENSG00000007384.15","protein_coding","RHBDF1"
"185","ENSG00000007392.16","protein_coding","LUC7L"
